loss,params,iteration,estimators,train_time
0.20088616541513904,"{'feature_fraction': 0.9303028531018795, 'lambda_l1': 0.6206766843734269, 'num_leaves': 144, 'max_bin': 254, 'min_data_in_leaf': 30, 'subsample': 0.8670074276869331, 'subsample_for_bin': 120000, 'verbosity': 0, 'learning_rate': 0.23939836181872562, 'bagging_freq': 5, 'lambda_l2': 0.9502928033376865, 'boosting_type': 'gbdt'}",16,22,13.912790982999923
0.19334745455568914,"{'feature_fraction': 0.5751271656320668, 'lambda_l1': 0.8839890648986785, 'num_leaves': 120, 'max_bin': 254, 'min_data_in_leaf': 180, 'subsample': 0.6275597312772695, 'subsample_for_bin': 40000, 'verbosity': 0, 'learning_rate': 0.06809656158278504, 'bagging_freq': 6, 'lambda_l2': 0.05434110915947277, 'boosting_type': 'gbdt'}",17,191,25.069719982999914
0.19469819693086754,"{'feature_fraction': 0.4069249514011331, 'lambda_l1': 0.3835947815383337, 'num_leaves': 188, 'max_bin': 253, 'min_data_in_leaf': 480, 'subsample': 0.7133598987274508, 'subsample_for_bin': 60000, 'verbosity': 0, 'learning_rate': 0.07364004589479008, 'bagging_freq': 4, 'lambda_l2': 0.4274358071206683, 'boosting_type': 'gbdt'}",18,324,28.046018303999972
0.19778088585046294,"{'feature_fraction': 0.8176825546124191, 'lambda_l1': 0.7683560209777561, 'num_leaves': 32, 'max_bin': 254, 'min_data_in_leaf': 20, 'subsample': 0.8080989650445953, 'subsample_for_bin': 180000, 'verbosity': 0, 'learning_rate': 0.16592203884253234, 'bagging_freq': 2, 'lambda_l2': 0.7966419342668021, 'boosting_type': 'gbdt'}",19,112,10.874518250999927
0.21519463494443503,"{'feature_fraction': 0.8848195046101923, 'lambda_l1': 0.6812212887470055, 'num_leaves': 120, 'max_bin': 253, 'min_data_in_leaf': 390, 'subsample': 1.0, 'subsample_for_bin': 300000, 'verbosity': 0, 'learning_rate': 0.06186107418172554, 'bagging_freq': 3, 'lambda_l2': 0.6321558266732896, 'boosting_type': 'goss'}",20,16,7.16167866700016
0.19008400335031206,"{'feature_fraction': 0.5280499923618284, 'lambda_l1': 0.28592010592869077, 'num_leaves': 56, 'max_bin': 253, 'min_data_in_leaf': 500, 'subsample': 0.9845383411091204, 'subsample_for_bin': 80000, 'verbosity': 0, 'learning_rate': 0.05113633359961638, 'bagging_freq': 1, 'lambda_l2': 0.5714231135780842, 'boosting_type': 'gbdt'}",21,503,44.4356400449999
0.21900552029803266,"{'feature_fraction': 0.7614882288667787, 'lambda_l1': 0.2577082713965342, 'num_leaves': 60, 'max_bin': 253, 'min_data_in_leaf': 500, 'subsample': 1.0, 'subsample_for_bin': 80000, 'verbosity': 0, 'learning_rate': 0.05251611501710775, 'bagging_freq': 1, 'lambda_l2': 0.8578723095887995, 'boosting_type': 'goss'}",22,19,6.331092265000052
0.1937655916834663,"{'feature_fraction': 0.4922920073197073, 'lambda_l1': 0.1998097412116422, 'num_leaves': 56, 'max_bin': 253, 'min_data_in_leaf': 340, 'subsample': 0.9985731749378051, 'subsample_for_bin': 20000, 'verbosity': 0, 'learning_rate': 0.143978165565386, 'bagging_freq': 1, 'lambda_l2': 0.30947676641947575, 'boosting_type': 'gbdt'}",23,165,17.59345488200006
0.19031835249374696,"{'feature_fraction': 0.985299398766093, 'lambda_l1': 0.2872094027494714, 'num_leaves': 56, 'max_bin': 253, 'min_data_in_leaf': 500, 'subsample': 0.9551497611407354, 'subsample_for_bin': 60000, 'verbosity': 0, 'learning_rate': 0.05841040564543771, 'bagging_freq': 2, 'lambda_l2': 0.5847645785535093, 'boosting_type': 'gbdt'}",24,431,48.25491505800005
0.22515896076821817,"{'feature_fraction': 0.9781396111953963, 'lambda_l1': 0.3036149395628041, 'num_leaves': 48, 'max_bin': 253, 'min_data_in_leaf': 340, 'subsample': 1.0, 'subsample_for_bin': 80000, 'verbosity': 0, 'learning_rate': 0.051262745324060555, 'bagging_freq': 2, 'lambda_l2': 0.35731563276219974, 'boosting_type': 'goss'}",25,19,7.970864938999966
