loss,params,iteration,estimators,train_time
0.21956550925675167,"{'max_bin': 254, 'boosting_type': 'gbdt', 'num_leaves': 40, 'bagging_freq': 2, 'learning_rate': 0.08352181818618787, 'lambda_l1': 1.5228209843876736e-06, 'verbosity': 0, 'min_data_in_leaf': 46, 'class_weight': None, 'feature_fraction': 0.9046990302690687, 'lambda_l2': 2.1504353173019023e-06, 'subsample': 0.7644769884533709}",1,73,3.6652468600000248
0.25595498162677277,"{'max_bin': 254, 'boosting_type': 'goss', 'num_leaves': 16, 'bagging_freq': 2, 'learning_rate': 0.15149638896424672, 'lambda_l1': 3.8684360544623067, 'verbosity': 0, 'min_data_in_leaf': 265, 'class_weight': 'balanced', 'feature_fraction': 0.9834445936458296, 'lambda_l2': 1.3673774715371152e-06, 'subsample': 1}",2,6,0.7646642999998221
0.21824787591531036,"{'max_bin': 254, 'boosting_type': 'dart', 'num_leaves': 136, 'bagging_freq': 2, 'learning_rate': 0.05181119860206316, 'lambda_l1': 9.129437274608726, 'verbosity': 0, 'min_data_in_leaf': 461, 'class_weight': 'balanced', 'feature_fraction': 0.7846015808545533, 'lambda_l2': 0.003239128032926561, 'subsample': 0.7867048708319886}",3,2224,483.32428036700003
0.24445041876602247,"{'max_bin': 254, 'boosting_type': 'goss', 'num_leaves': 20, 'bagging_freq': 3, 'learning_rate': 0.11778525411538389, 'lambda_l1': 0.00011178766916319588, 'verbosity': 0, 'min_data_in_leaf': 37, 'class_weight': 'balanced', 'feature_fraction': 0.9560615452348252, 'lambda_l2': 0.030718980199359758, 'subsample': 1}",4,8,1.1336968900000102
0.21901895731018983,"{'max_bin': 254, 'boosting_type': 'gbdt', 'num_leaves': 48, 'bagging_freq': 1, 'learning_rate': 0.10222329015033244, 'lambda_l1': 1.1702045242852867e-07, 'verbosity': 0, 'min_data_in_leaf': 209, 'class_weight': 'balanced', 'feature_fraction': 0.7928975032044008, 'lambda_l2': 4.093833277794797e-05, 'subsample': 0.8009564422080819}",5,81,2.3870185099999617
